id,No_of_files,size_conv,CSV,Other,Upvotes,Medals,Month_since,Day,Usability,Date,,
334,1,12000,Y,N,105,Bronze,22,Fri,5.9,10/27/2017,,
335,6,33000000,Y,Y,124,Silver,22,Fri,7.6,10/27/2017,,
336,1,5000,Y,N,4,No Medal,22,Fri,4.7,10/27/2017,,
337,4,4000000,Y,N,405,Gold,22,Mon,7.9,10/30/2017,,
338,1,15000,Y,N,76,Bronze,22,Mon,8.2,10/30/2017,,
339,2,111000,Y,N,39,Bronze,22,Mon,7.4,10/30/2017,,
340,2,5000000,Y,Y,191,Silver,22,Tue,7.9,10/31/2017,,
341,1,6000,Y,N,38,Bronze,22,Tue,7.6,10/31/2017,,
342,2,2000000,Y,N,326,Gold,23,Wed,10,11/1/2017,,
343,327,327000000,N,Y,201,Silver,23,Wed,7.5,11/1/2017,,
344,1,764,Y,N,10,No Medal,23,Thu,2.9,11/2/2017,,
345,5,13000000,Y,Y,19,No Medal,23,Thu,2.9,11/2/2017,,
346,1,69000000,Y,N,31,No Medal,23,Fri,5.3,11/3/2017,,
347,1,20000000,Y,N,50,Bronze,23,Fri,7.1,11/3/2017,,
348,2,36000000,Y,N,57,Bronze,23,Sat,8.2,11/4/2017,,
349,5,932000,Y,Y,5,No Medal,23,Sun,1.8,11/5/2017,,
350,2,70000,Y,N,9,No Medal,23,Mon,6.5,11/6/2017,,
351,2140,907000000,Y,Y,247,Silver,23,Tue,7.6,11/7/2017,,
352,1,11000000,Y,N,103,Bronze,23,Tue,8.8,11/7/2017,,
353,1,375,Y,N,28,No Medal,23,Wed,4.1,11/8/2017,,
354,1,1000,Y,N,91,Bronze,23,Thu,4.1,11/9/2017,,
355,1,2000000,Y,N,23,Bronze,23,Thu,5.3,11/9/2017,,
356,7,239000000,Y,N,3113,Gold,23,Fri,8.2,11/10/2017,,
357,118,5000000,N,Y,158,Silver,23,Fri,5.6,11/10/2017,,
